1.png	grinning face	😀️	\U0001F600\U0000FE0F	U+1F600	grinning face
1439.png	man artist: dark skin tone	👨🏿‍🎨️	\U0001F468\U0001F3FF\U0000200D\U0001F3A8\U0000FE0F	U+1F468 U+1F3FF U+200D U+1F3A8	man artist: dark skin tone
1440.png	woman artist: light skin tone	👩🏻‍🎨️	\U0001F469\U0001F3FB\U0000200D\U0001F3A8\U0000FE0F	U+1F469 U+1F3FB U+200D U+1F3A8	woman artist: light skin tone
1441.png	woman artist: medium-light skin tone	👩🏼‍🎨️	\U0001F469\U0001F3FC\U0000200D\U0001F3A8\U0000FE0F	U+1F469 U+1F3FC U+200D U+1F3A8	woman artist: medium-light skin tone
1442.png	woman artist: medium skin tone	👩🏽‍🎨️	\U0001F469\U0001F3FD\U0000200D\U0001F3A8\U0000FE0F	U+1F469 U+1F3FD U+200D U+1F3A8	woman artist: medium skin tone
1443.png	woman artist: medium-dark skin tone	👩🏾‍🎨️	\U0001F469\U0001F3FE\U0000200D\U0001F3A8\U0000FE0F	U+1F469 U+1F3FE U+200D U+1F3A8	woman artist: medium-dark skin tone
1444.png	woman artist: dark skin tone	👩🏿‍🎨️	\U0001F469\U0001F3FF\U0000200D\U0001F3A8\U0000FE0F	U+1F469 U+1F3FF U+200D U+1F3A8	woman artist: dark skin tone
1445.png	pilot: light skin tone	🧑🏻‍✈️️	\U0001F9D1\U0001F3FB\U0000200D\U00002708\U0000FE0F\U0000FE0F	U+1F9D1 U+1F3FB U+200D U+2708 U+FE0F	pilot: light skin tone
1446.png	pilot: medium-light skin tone	🧑🏼‍✈️️	\U0001F9D1\U0001F3FC\U0000200D\U00002708\U0000FE0F\U0000FE0F	U+1F9D1 U+1F3FC U+200D U+2708 U+FE0F	pilot: medium-light skin tone
1447.png	pilot: medium skin tone	🧑🏽‍✈️️	\U0001F9D1\U0001F3FD\U0000200D\U00002708\U0000FE0F\U0000FE0F	U+1F9D1 U+1F3FD U+200D U+2708 U+FE0F	pilot: medium skin tone
1448.png	pilot: medium-dark skin tone	🧑🏾‍✈️️	\U0001F9D1\U0001F3FE\U0000200D\U00002708\U0000FE0F\U0000FE0F	U+1F9D1 U+1F3FE U+200D U+2708 U+FE0F	pilot: medium-dark skin tone
1449.png	pilot: dark skin tone	🧑🏿‍✈️️	\U0001F9D1\U0001F3FF\U0000200D\U00002708\U0000FE0F\U0000FE0F	U+1F9D1 U+1F3FF U+200D U+2708 U+FE0F	pilot: dark skin tone
1450.png	man pilot: light skin tone	👨🏻‍✈️️	\U0001F468\U0001F3FB\U0000200D\U00002708\U0000FE0F\U0000FE0F	U+1F468 U+1F3FB U+200D U+2708 U+FE0F	man pilot: light skin tone
1451.png	man pilot: medium-light skin tone	👨🏼‍✈️️	\U0001F468\U0001F3FC\U0000200D\U00002708\U0000FE0F\U0000FE0F	U+1F468 U+1F3FC U+200D U+2708 U+FE0F	man pilot: medium-light skin tone
1452.png	man pilot: medium skin tone	👨🏽‍✈️️	\U0001F468\U0001F3FD\U0000200D\U00002708\U0000FE0F\U0000FE0F	U+1F468 U+1F3FD U+200D U+2708 U+FE0F	man pilot: medium skin tone
1453.png	man pilot: medium-dark skin tone	👨🏾‍✈️️	\U0001F468\U0001F3FE\U0000200D\U00002708\U0000FE0F\U0000FE0F	U+1F468 U+1F3FE U+200D U+2708 U+FE0F	man pilot: medium-dark skin tone
1454.png	man pilot: dark skin tone	👨🏿‍✈️️	\U0001F468\U0001F3FF\U0000200D\U00002708\U0000FE0F\U0000FE0F	U+1F468 U+1F3FF U+200D U+2708 U+FE0F	man pilot: dark skin tone
1455.png	woman pilot: light skin tone	👩🏻‍✈️️	\U0001F469\U0001F3FB\U0000200D\U00002708\U0000FE0F\U0000FE0F	U+1F469 U+1F3FB U+200D U+2708 U+FE0F	woman pilot: light skin tone
1456.png	woman pilot: medium-light skin tone	👩🏼‍✈️️	\U0001F469\U0001F3FC\U0000200D\U00002708\U0000FE0F\U0000FE0F	U+1F469 U+1F3FC U+200D U+2708 U+FE0F	woman pilot: medium-light skin tone
1457.png	woman pilot: medium skin tone	👩🏽‍✈️️	\U0001F469\U0001F3FD\U0000200D\U00002708\U0000FE0F\U0000FE0F	U+1F469 U+1F3FD U+200D U+2708 U+FE0F	woman pilot: medium skin tone
1458.png	woman pilot: medium-dark skin tone	👩🏾‍✈️️	\U0001F469\U0001F3FE\U0000200D\U00002708\U0000FE0F\U0000FE0F	U+1F469 U+1F3FE U+200D U+2708 U+FE0F	woman pilot: medium-dark skin tone
1459.png	woman pilot: dark skin tone	👩🏿‍✈️️	\U0001F469\U0001F3FF\U0000200D\U00002708\U0000FE0F\U0000FE0F	U+1F469 U+1F3FF U+200D U+2708 U+FE0F	woman pilot: dark skin tone
1460.png	astronaut: light skin tone	🧑🏻‍🚀️	\U0001F9D1\U0001F3FB\U0000200D\U0001F680\U0000FE0F	U+1F9D1 U+1F3FB U+200D U+1F680	astronaut: light skin tone
1461.png	astronaut: medium-light skin tone	🧑🏼‍🚀️	\U0001F9D1\U0001F3FC\U0000200D\U0001F680\U0000FE0F	U+1F9D1 U+1F3FC U+200D U+1F680	astronaut: medium-light skin tone
1462.png	astronaut: medium skin tone	🧑🏽‍🚀️	\U0001F9D1\U0001F3FD\U0000200D\U0001F680\U0000FE0F	U+1F9D1 U+1F3FD U+200D U+1F680	astronaut: medium skin tone
1463.png	astronaut: medium-dark skin tone	🧑🏾‍🚀️	\U0001F9D1\U0001F3FE\U0000200D\U0001F680\U0000FE0F	U+1F9D1 U+1F3FE U+200D U+1F680	astronaut: medium-dark skin tone
1464.png	astronaut: dark skin tone	🧑🏿‍🚀️	\U0001F9D1\U0001F3FF\U0000200D\U0001F680\U0000FE0F	U+1F9D1 U+1F3FF U+200D U+1F680	astronaut: dark skin tone
1465.png	man astronaut: light skin tone	👨🏻‍🚀️	\U0001F468\U0001F3FB\U0000200D\U0001F680\U0000FE0F	U+1F468 U+1F3FB U+200D U+1F680	man astronaut: light skin tone
1466.png	man astronaut: medium-light skin tone	👨🏼‍🚀️	\U0001F468\U0001F3FC\U0000200D\U0001F680\U0000FE0F	U+1F468 U+1F3FC U+200D U+1F680	man astronaut: medium-light skin tone
1467.png	man astronaut: medium skin tone	👨🏽‍🚀️	\U0001F468\U0001F3FD\U0000200D\U0001F680\U0000FE0F	U+1F468 U+1F3FD U+200D U+1F680	man astronaut: medium skin tone
1468.png	man astronaut: medium-dark skin tone	👨🏾‍🚀️	\U0001F468\U0001F3FE\U0000200D\U0001F680\U0000FE0F	U+1F468 U+1F3FE U+200D U+1F680	man astronaut: medium-dark skin tone
1469.png	man astronaut: dark skin tone	👨🏿‍🚀️	\U0001F468\U0001F3FF\U0000200D\U0001F680\U0000FE0F	U+1F468 U+1F3FF U+200D U+1F680	man astronaut: dark skin tone
1470.png	woman astronaut: light skin tone	👩🏻‍🚀️	\U0001F469\U0001F3FB\U0000200D\U0001F680\U0000FE0F	U+1F469 U+1F3FB U+200D U+1F680	woman astronaut: light skin tone
1471.png	woman astronaut: medium-light skin tone	👩🏼‍🚀️	\U0001F469\U0001F3FC\U0000200D\U0001F680\U0000FE0F	U+1F469 U+1F3FC U+200D U+1F680	woman astronaut: medium-light skin tone
1472.png	woman astronaut: medium skin tone	👩🏽‍🚀️	\U0001F469\U0001F3FD\U0000200D\U0001F680\U0000FE0F	U+1F469 U+1F3FD U+200D U+1F680	woman astronaut: medium skin tone
1473.png	woman astronaut: medium-dark skin tone	👩🏾‍🚀️	\U0001F469\U0001F3FE\U0000200D\U0001F680\U0000FE0F	U+1F469 U+1F3FE U+200D U+1F680	woman astronaut: medium-dark skin tone
1474.png	woman astronaut: dark skin tone	👩🏿‍🚀️	\U0001F469\U0001F3FF\U0000200D\U0001F680\U0000FE0F	U+1F469 U+1F3FF U+200D U+1F680	woman astronaut: dark skin tone
1475.png	firefighter: light skin tone	🧑🏻‍🚒️	\U0001F9D1\U0001F3FB\U0000200D\U0001F692\U0000FE0F	U+1F9D1 U+1F3FB U+200D U+1F692	firefighter: light skin tone
1476.png	firefighter: medium-light skin tone	🧑🏼‍🚒️	\U0001F9D1\U0001F3FC\U0000200D\U0001F692\U0000FE0F	U+1F9D1 U+1F3FC U+200D U+1F692	firefighter: medium-light skin tone
1477.png	firefighter: medium skin tone	🧑🏽‍🚒️	\U0001F9D1\U0001F3FD\U0000200D\U0001F692\U0000FE0F	U+1F9D1 U+1F3FD U+200D U+1F692	firefighter: medium skin tone
1478.png	firefighter: medium-dark skin tone	🧑🏾‍🚒️	\U0001F9D1\U0001F3FE\U0000200D\U0001F692\U0000FE0F	U+1F9D1 U+1F3FE U+200D U+1F692	firefighter: medium-dark skin tone
1479.png	firefighter: dark skin tone	🧑🏿‍🚒️	\U0001F9D1\U0001F3FF\U0000200D\U0001F692\U0000FE0F	U+1F9D1 U+1F3FF U+200D U+1F692	firefighter: dark skin tone
1480.png	man firefighter: light skin tone	👨🏻‍🚒️	\U0001F468\U0001F3FB\U0000200D\U0001F692\U0000FE0F	U+1F468 U+1F3FB U+200D U+1F692	man firefighter: light skin tone
1481.png	man firefighter: medium-light skin tone	👨🏼‍🚒️	\U0001F468\U0001F3FC\U0000200D\U0001F692\U0000FE0F	U+1F468 U+1F3FC U+200D U+1F692	man firefighter: medium-light skin tone
1482.png	man firefighter: medium skin tone	👨🏽‍🚒️	\U0001F468\U0001F3FD\U0000200D\U0001F692\U0000FE0F	U+1F468 U+1F3FD U+200D U+1F692	man firefighter: medium skin tone
1483.png	man firefighter: medium-dark skin tone	👨🏾‍🚒️	\U0001F468\U0001F3FE\U0000200D\U0001F692\U0000FE0F	U+1F468 U+1F3FE U+200D U+1F692	man firefighter: medium-dark skin tone
1484.png	man firefighter: dark skin tone	👨🏿‍🚒️	\U0001F468\U0001F3FF\U0000200D\U0001F692\U0000FE0F	U+1F468 U+1F3FF U+200D U+1F692	man firefighter: dark skin tone
1485.png	woman firefighter: light skin tone	👩🏻‍🚒️	\U0001F469\U0001F3FB\U0000200D\U0001F692\U0000FE0F	U+1F469 U+1F3FB U+200D U+1F692	woman firefighter: light skin tone
1486.png	woman firefighter: medium-light skin tone	👩🏼‍🚒️	\U0001F469\U0001F3FC\U0000200D\U0001F692\U0000FE0F	U+1F469 U+1F3FC U+200D U+1F692	woman firefighter: medium-light skin tone
1487.png	woman firefighter: medium skin tone	👩🏽‍🚒️	\U0001F469\U0001F3FD\U0000200D\U0001F692\U0000FE0F	U+1F469 U+1F3FD U+200D U+1F692	woman firefighter: medium skin tone
1488.png	woman firefighter: medium-dark skin tone	👩🏾‍🚒️	\U0001F469\U0001F3FE\U0000200D\U0001F692\U0000FE0F	U+1F469 U+1F3FE U+200D U+1F692	woman firefighter: medium-dark skin tone
1489.png	woman firefighter: dark skin tone	👩🏿‍🚒️	\U0001F469\U0001F3FF\U0000200D\U0001F692\U0000FE0F	U+1F469 U+1F3FF U+200D U+1F692	woman firefighter: dark skin tone
1490.png	police officer: light skin tone	👮🏻️	\U0001F46E\U0001F3FB\U0000FE0F	U+1F46E U+1F3FB	police officer: light skin tone
1491.png	police officer: medium-light skin tone	👮🏼️	\U0001F46E\U0001F3FC\U0000FE0F	U+1F46E U+1F3FC	police officer: medium-light skin tone
1492.png	police officer: medium skin tone	👮🏽️	\U0001F46E\U0001F3FD\U0000FE0F	U+1F46E U+1F3FD	police officer: medium skin tone
1493.png	police officer: medium-dark skin tone	👮🏾️	\U0001F46E\U0001F3FE\U0000FE0F	U+1F46E U+1F3FE	police officer: medium-dark skin tone
1494.png	police officer: dark skin tone	👮🏿️	\U0001F46E\U0001F3FF\U0000FE0F	U+1F46E U+1F3FF	police officer: dark skin tone
1495.png	man police officer: light skin tone	👮🏻‍♂️️	\U0001F46E\U0001F3FB\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F46E U+1F3FB U+200D U+2642 U+FE0F	man police officer: light skin tone
1496.png	man police officer: medium-light skin tone	👮🏼‍♂️️	\U0001F46E\U0001F3FC\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F46E U+1F3FC U+200D U+2642 U+FE0F	man police officer: medium-light skin tone
1497.png	man police officer: medium skin tone	👮🏽‍♂️️	\U0001F46E\U0001F3FD\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F46E U+1F3FD U+200D U+2642 U+FE0F	man police officer: medium skin tone
1498.png	man police officer: medium-dark skin tone	👮🏾‍♂️️	\U0001F46E\U0001F3FE\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F46E U+1F3FE U+200D U+2642 U+FE0F	man police officer: medium-dark skin tone
1499.png	man police officer: dark skin tone	👮🏿‍♂️️	\U0001F46E\U0001F3FF\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F46E U+1F3FF U+200D U+2642 U+FE0F	man police officer: dark skin tone
1500.png	woman police officer: light skin tone	👮🏻‍♀️️	\U0001F46E\U0001F3FB\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F46E U+1F3FB U+200D U+2640 U+FE0F	woman police officer: light skin tone
1501.png	woman police officer: medium-light skin tone	👮🏼‍♀️️	\U0001F46E\U0001F3FC\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F46E U+1F3FC U+200D U+2640 U+FE0F	woman police officer: medium-light skin tone
1502.png	woman police officer: medium skin tone	👮🏽‍♀️️	\U0001F46E\U0001F3FD\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F46E U+1F3FD U+200D U+2640 U+FE0F	woman police officer: medium skin tone
1503.png	woman police officer: medium-dark skin tone	👮🏾‍♀️️	\U0001F46E\U0001F3FE\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F46E U+1F3FE U+200D U+2640 U+FE0F	woman police officer: medium-dark skin tone
1504.png	woman police officer: dark skin tone	👮🏿‍♀️️	\U0001F46E\U0001F3FF\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F46E U+1F3FF U+200D U+2640 U+FE0F	woman police officer: dark skin tone
1505.png	detective: light skin tone	🕵🏻️	\U0001F575\U0001F3FB\U0000FE0F	U+1F575 U+1F3FB	detective: light skin tone
1506.png	detective: medium-light skin tone	🕵🏼️	\U0001F575\U0001F3FC\U0000FE0F	U+1F575 U+1F3FC	detective: medium-light skin tone
1507.png	detective: medium skin tone	🕵🏽️	\U0001F575\U0001F3FD\U0000FE0F	U+1F575 U+1F3FD	detective: medium skin tone
1508.png	detective: medium-dark skin tone	🕵🏾️	\U0001F575\U0001F3FE\U0000FE0F	U+1F575 U+1F3FE	detective: medium-dark skin tone
1509.png	detective: dark skin tone	🕵🏿️	\U0001F575\U0001F3FF\U0000FE0F	U+1F575 U+1F3FF	detective: dark skin tone
1510.png	man detective: light skin tone	🕵🏻‍♂️️	\U0001F575\U0001F3FB\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F575 U+1F3FB U+200D U+2642 U+FE0F	man detective: light skin tone
1511.png	man detective: medium-light skin tone	🕵🏼‍♂️️	\U0001F575\U0001F3FC\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F575 U+1F3FC U+200D U+2642 U+FE0F	man detective: medium-light skin tone
1512.png	man detective: medium skin tone	🕵🏽‍♂️️	\U0001F575\U0001F3FD\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F575 U+1F3FD U+200D U+2642 U+FE0F	man detective: medium skin tone
1513.png	man detective: medium-dark skin tone	🕵🏾‍♂️️	\U0001F575\U0001F3FE\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F575 U+1F3FE U+200D U+2642 U+FE0F	man detective: medium-dark skin tone
1514.png	man detective: dark skin tone	🕵🏿‍♂️️	\U0001F575\U0001F3FF\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F575 U+1F3FF U+200D U+2642 U+FE0F	man detective: dark skin tone
1515.png	woman detective: light skin tone	🕵🏻‍♀️️	\U0001F575\U0001F3FB\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F575 U+1F3FB U+200D U+2640 U+FE0F	woman detective: light skin tone
1516.png	woman detective: medium-light skin tone	🕵🏼‍♀️️	\U0001F575\U0001F3FC\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F575 U+1F3FC U+200D U+2640 U+FE0F	woman detective: medium-light skin tone
1517.png	woman detective: medium skin tone	🕵🏽‍♀️️	\U0001F575\U0001F3FD\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F575 U+1F3FD U+200D U+2640 U+FE0F	woman detective: medium skin tone
1518.png	woman detective: medium-dark skin tone	🕵🏾‍♀️️	\U0001F575\U0001F3FE\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F575 U+1F3FE U+200D U+2640 U+FE0F	woman detective: medium-dark skin tone
1519.png	woman detective: dark skin tone	🕵🏿‍♀️️	\U0001F575\U0001F3FF\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F575 U+1F3FF U+200D U+2640 U+FE0F	woman detective: dark skin tone
1520.png	guard: light skin tone	💂🏻️	\U0001F482\U0001F3FB\U0000FE0F	U+1F482 U+1F3FB	guard: light skin tone
1521.png	guard: medium-light skin tone	💂🏼️	\U0001F482\U0001F3FC\U0000FE0F	U+1F482 U+1F3FC	guard: medium-light skin tone
1522.png	guard: medium skin tone	💂🏽️	\U0001F482\U0001F3FD\U0000FE0F	U+1F482 U+1F3FD	guard: medium skin tone
1523.png	guard: medium-dark skin tone	💂🏾️	\U0001F482\U0001F3FE\U0000FE0F	U+1F482 U+1F3FE	guard: medium-dark skin tone
1524.png	guard: dark skin tone	💂🏿️	\U0001F482\U0001F3FF\U0000FE0F	U+1F482 U+1F3FF	guard: dark skin tone
1525.png	man guard: light skin tone	💂🏻‍♂️️	\U0001F482\U0001F3FB\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F482 U+1F3FB U+200D U+2642 U+FE0F	man guard: light skin tone
1526.png	man guard: medium-light skin tone	💂🏼‍♂️️	\U0001F482\U0001F3FC\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F482 U+1F3FC U+200D U+2642 U+FE0F	man guard: medium-light skin tone
1527.png	man guard: medium skin tone	💂🏽‍♂️️	\U0001F482\U0001F3FD\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F482 U+1F3FD U+200D U+2642 U+FE0F	man guard: medium skin tone
1528.png	man guard: medium-dark skin tone	💂🏾‍♂️️	\U0001F482\U0001F3FE\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F482 U+1F3FE U+200D U+2642 U+FE0F	man guard: medium-dark skin tone
1529.png	man guard: dark skin tone	💂🏿‍♂️️	\U0001F482\U0001F3FF\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F482 U+1F3FF U+200D U+2642 U+FE0F	man guard: dark skin tone
1530.png	woman guard: light skin tone	💂🏻‍♀️️	\U0001F482\U0001F3FB\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F482 U+1F3FB U+200D U+2640 U+FE0F	woman guard: light skin tone
1531.png	woman guard: medium-light skin tone	💂🏼‍♀️️	\U0001F482\U0001F3FC\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F482 U+1F3FC U+200D U+2640 U+FE0F	woman guard: medium-light skin tone
1532.png	woman guard: medium skin tone	💂🏽‍♀️️	\U0001F482\U0001F3FD\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F482 U+1F3FD U+200D U+2640 U+FE0F	woman guard: medium skin tone
1533.png	woman guard: medium-dark skin tone	💂🏾‍♀️️	\U0001F482\U0001F3FE\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F482 U+1F3FE U+200D U+2640 U+FE0F	woman guard: medium-dark skin tone
1534.png	woman guard: dark skin tone	💂🏿‍♀️️	\U0001F482\U0001F3FF\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F482 U+1F3FF U+200D U+2640 U+FE0F	woman guard: dark skin tone
1535.png	ninja: light skin tone	🥷🏻️	\U0001F977\U0001F3FB\U0000FE0F	U+1F977 U+1F3FB	ninja: light skin tone
1536.png	ninja: medium-light skin tone	🥷🏼️	\U0001F977\U0001F3FC\U0000FE0F	U+1F977 U+1F3FC	ninja: medium-light skin tone
1537.png	ninja: medium skin tone	🥷🏽️	\U0001F977\U0001F3FD\U0000FE0F	U+1F977 U+1F3FD	ninja: medium skin tone
1538.png	ninja: medium-dark skin tone	🥷🏾️	\U0001F977\U0001F3FE\U0000FE0F	U+1F977 U+1F3FE	ninja: medium-dark skin tone
1539.png	ninja: dark skin tone	🥷🏿️	\U0001F977\U0001F3FF\U0000FE0F	U+1F977 U+1F3FF	ninja: dark skin tone
1540.png	construction worker: light skin tone	👷🏻️	\U0001F477\U0001F3FB\U0000FE0F	U+1F477 U+1F3FB	construction worker: light skin tone
1541.png	construction worker: medium-light skin tone	👷🏼️	\U0001F477\U0001F3FC\U0000FE0F	U+1F477 U+1F3FC	construction worker: medium-light skin tone
1542.png	construction worker: medium skin tone	👷🏽️	\U0001F477\U0001F3FD\U0000FE0F	U+1F477 U+1F3FD	construction worker: medium skin tone
1543.png	construction worker: medium-dark skin tone	👷🏾️	\U0001F477\U0001F3FE\U0000FE0F	U+1F477 U+1F3FE	construction worker: medium-dark skin tone
1544.png	construction worker: dark skin tone	👷🏿️	\U0001F477\U0001F3FF\U0000FE0F	U+1F477 U+1F3FF	construction worker: dark skin tone
1545.png	man construction worker: light skin tone	👷🏻‍♂️️	\U0001F477\U0001F3FB\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F477 U+1F3FB U+200D U+2642 U+FE0F	man construction worker: light skin tone
1546.png	man construction worker: medium-light skin tone	👷🏼‍♂️️	\U0001F477\U0001F3FC\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F477 U+1F3FC U+200D U+2642 U+FE0F	man construction worker: medium-light skin tone
1547.png	man construction worker: medium skin tone	👷🏽‍♂️️	\U0001F477\U0001F3FD\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F477 U+1F3FD U+200D U+2642 U+FE0F	man construction worker: medium skin tone
1548.png	man construction worker: medium-dark skin tone	👷🏾‍♂️️	\U0001F477\U0001F3FE\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F477 U+1F3FE U+200D U+2642 U+FE0F	man construction worker: medium-dark skin tone
1549.png	man construction worker: dark skin tone	👷🏿‍♂️️	\U0001F477\U0001F3FF\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F477 U+1F3FF U+200D U+2642 U+FE0F	man construction worker: dark skin tone
1550.png	woman construction worker: light skin tone	👷🏻‍♀️️	\U0001F477\U0001F3FB\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F477 U+1F3FB U+200D U+2640 U+FE0F	woman construction worker: light skin tone
1551.png	woman construction worker: medium-light skin tone	👷🏼‍♀️️	\U0001F477\U0001F3FC\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F477 U+1F3FC U+200D U+2640 U+FE0F	woman construction worker: medium-light skin tone
1552.png	woman construction worker: medium skin tone	👷🏽‍♀️️	\U0001F477\U0001F3FD\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F477 U+1F3FD U+200D U+2640 U+FE0F	woman construction worker: medium skin tone
1553.png	woman construction worker: medium-dark skin tone	👷🏾‍♀️️	\U0001F477\U0001F3FE\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F477 U+1F3FE U+200D U+2640 U+FE0F	woman construction worker: medium-dark skin tone
1554.png	woman construction worker: dark skin tone	👷🏿‍♀️️	\U0001F477\U0001F3FF\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F477 U+1F3FF U+200D U+2640 U+FE0F	woman construction worker: dark skin tone
1555.png	prince: light skin tone	🤴🏻️	\U0001F934\U0001F3FB\U0000FE0F	U+1F934 U+1F3FB	prince: light skin tone
1556.png	prince: medium-light skin tone	🤴🏼️	\U0001F934\U0001F3FC\U0000FE0F	U+1F934 U+1F3FC	prince: medium-light skin tone
1557.png	prince: medium skin tone	🤴🏽️	\U0001F934\U0001F3FD\U0000FE0F	U+1F934 U+1F3FD	prince: medium skin tone
1558.png	prince: medium-dark skin tone	🤴🏾️	\U0001F934\U0001F3FE\U0000FE0F	U+1F934 U+1F3FE	prince: medium-dark skin tone
1559.png	prince: dark skin tone	🤴🏿️	\U0001F934\U0001F3FF\U0000FE0F	U+1F934 U+1F3FF	prince: dark skin tone
1560.png	princess: light skin tone	👸🏻️	\U0001F478\U0001F3FB\U0000FE0F	U+1F478 U+1F3FB	princess: light skin tone
1561.png	princess: medium-light skin tone	👸🏼️	\U0001F478\U0001F3FC\U0000FE0F	U+1F478 U+1F3FC	princess: medium-light skin tone
1562.png	princess: medium skin tone	👸🏽️	\U0001F478\U0001F3FD\U0000FE0F	U+1F478 U+1F3FD	princess: medium skin tone
1563.png	princess: medium-dark skin tone	👸🏾️	\U0001F478\U0001F3FE\U0000FE0F	U+1F478 U+1F3FE	princess: medium-dark skin tone
